NAME,POS,TEAM,GP,FGM,FGA
Marquis Daniels,SF,MIL,59,2.2,5.9
Kim English,SG,DET,41,1.0,2.7
Robert Sacre,C,LAL,32,0.6,1.5
Jeremy Tyler,PF,ATL/GS,21,0.4,1.1
DeShawn Stevenson,SF,ATL,56,1.8,4.7
Stephen Jackson,SF,SA,55,2.2,6.0
Mike James,PG,DAL,45,2.2,6.0
Austin Rivers,SG,NO,61,2.4,6.4
Alexey Shved,PG,MIN,77,3.1,8.2
Jason Kidd,PG,NY,76,2.0,5.4
Kendall Marshall,PG,PHX,48,1.2,3.1
Kent Bazemore,SG,GS,61,0.7,1.9
Dahntay Jones,SF,ATL/DAL,78,1.1,2.8
Rodrigue Beaubois,PG,DAL,45,1.4,3.9
Nolan Smith,PG,POR,40,1.1,2.9
Doron Lamb,SG,MIL/ORL,47,1.3,3.5
Jannero Pargo,PG,ATL/WSH/CHA,32,2.4,6.6
Tyshawn Taylor,PG,BKN,38,0.8,2.3
Jamaal Tinsley,PG,UTAH,66,1.3,3.5
Luke Babbitt,SF,POR,62,1.4,3.8
Dominique Jones,SG,DAL,29,1.4,3.8
Nazr Mohammed,C,CHI,63,1.0,2.9
Samardo Samuels,PF,CLE,18,1.2,3.3
Gerald Green,SF,IND,60,2.6,7.1
Dexter Pittman,C,MIA/MEM,11,0.4,1.0
Sebastian Telfair,PG,PHX/TOR,59,1.9,5.2
Troy Murphy,PF,DAL,14,1.6,4.4
Ricky Rubio,PG,MIN,57,3.2,9.0
Chris Douglas-Roberts,SG,DAL,6,0.8,2.3
Corey Maggette,SF,DET,18,1.5,4.2
Ronnie Brewer,SF,NY/OKC,60,1.2,3.3
Tyrus Thomas,PF,CHA,26,1.8,5.2
Sasha Pavlovic,SG,POR,39,1.1,3.1
Jeremy Lamb,SG,OKC,23,1.0,3.0
Earl Barron,C,NY/WSH,12,1.5,4.3
Kevin Love,PF,MIN,18,5.8,16.6
Ish Smith,PG,MIL/ORL,52,1.1,3.1
Al Harrington,PF,ORL,10,2.0,5.7
D.J. Augustin,PG,IND,76,1.4,3.9
Mickael Pietrus,SF,TOR,19,1.8,5.2
Donald Sloan,PG,NO/CLE,23,1.2,3.4
Luke Zeller,PF,PHX,16,0.6,1.6
James Jones,SF,MIA,38,0.6,1.6
Derek Fisher,PG,DAL/OKC,33,1.7,4.9
Daniel Gibson,SG,CLE,46,1.8,5.4
Linas Kleiza,SF,TOR,20,2.4,7.2
Justin Holiday,SG,PHI,9,1.8,5.3
Ben Hansbrough,PG,IND,28,0.5,1.6
Quincy Miller,SF,DEN,7,0.6,1.7
Tim Ohlbrecht,C,HOU,3,0.3,1.0
Devin Ebanks,SF,LAL,19,1.3,3.8
Drew Gooden,PF,MIL,16,1.3,3.8
Draymond Green,SF,GS,79,1.1,3.3
Diante Garrett,PG,PHX,19,0.8,2.6
Ronnie Price,PG,POR,39,1.0,3.1
Marcus Camby,C,NY,24,0.7,2.2
Cory Higgins,PG,CHA,6,1.0,3.2
Brandon Roy,SG,MIN,5,2.2,7.0
Jason Collins,C,BOS/WSH,38,0.2,0.8
Earl Watson,PG,UTAH,48,0.8,2.5
Daequan Cook,SG,CHI/HOU,49,1.0,3.4
Vladimir Radmanovic,SF,CHI,25,0.5,1.7
Jared Jeffries,PF,POR,38,0.4,1.4
DeSagana Diop,C,CHA,22,0.4,1.2
Maalik Wayns,PG,LAC/PHI,27,1.0,3.3
Danny Granger,SF,IND,5,2.0,7.0
Josh Childress,SF,BKN,14,0.4,1.5
Josh Selby,PG,CLE/MEM,10,0.6,2.2
Tyler Honeycutt,SF,HOU/SAC,9,0.3,1.2
Hedo Turkoglu,SF,ORL,11,1.3,4.8
Kevin Murphy,SG,UTAH,17,0.4,1.6
Chris Quinn,PG,CLE,7,0.6,2.3
Joel Przybilla,C,MIL,12,0.1,0.3
DaJuan Summers,SF,LAC,2,0.5,2.0
Miles Plumlee,PF,IND,14,0.4,1.5
Lazar Hayward,SF,MIN,4,0.5,2.5
Terrel Harris,SG,NO/MIA,20,0.2,1.4
Kris Joseph,SF,BOS/BKN,10,0.2,1.4
Quentin Richardson,SF,NY,1,1.0,11.0
Darko Milicic,C,BOS,1,0.0,1.0
Matt Carroll,SG,NO/CHA,1,0.0,0.0
Will Conroy,PG,MIN,4,0.0,2.3
Solomon Jones,PF,NY,2,0.0,0.5
Damion James,SF,BKN,2,0.0,0.0
Andrew Goudelock,PG,LAL,1,0.0,2.0
Justin Dentmon,PG,DAL,2,0.0,1.0
Darius Johnson-Odom,SG,LAL,4,0.0,1.0
